,Title,Year,Id,Overview,TMDB_Id,Average_vote,Popularity,Revenue,Budget,Genre,Keywords,Cast,Director,Poster
0,Mr Joe B. Carvalho,2014.0,tt2876408,A small time detective is hired to bring back the daughter of a businessman who has run away from home with the house chef.,250726.0,3.1,1.832,,,['Comedy'],[],"['Arshad Warsi', 'Soha Ali Khan', 'Javed Jaffrey']",,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/ojSEyRapOfQBuyofrOwyMXoP244.jpg
1,Sholay 3D,2014.0,tt0073707,"After his family is murdered by a notorious and ruthless bandit who has been terrorising his village, a former police officer enlists the services of two outlaws to capture him.",12259.0,6.979,16.705,4800000.0,408000.0,['Action'],"['police', 'fight', 'village', 'bandit']","['Amitabh Bachchan', 'Om Shivpuri', 'Amjad Khan']",Ramesh Sippy,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/3NdhVyXOVkVAYCHImd6WOOFLyCx.jpg
2,Dedh Ishqiya,2014.0,tt2675978,A team of con men fall for a Begum and her female confidante. Does their love fructify?,248698.0,6.5,11.377,,,"['Comedy', 'Drama', 'Romance']",[],"['Vijay Raaz', 'Naseeruddin Shah', 'Manoj Pahwa']",Vishal Bhardwaj,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/r6KLehJgkGUBFBS1geBOZIlPozm.jpg
3,Yaariyan,2014.0,tt3382148,A college student must win an inter college competition to save his college from being demolished by property builders.,252053.0,3.222,3.705,100.0,10.0,"['Drama', 'Romance']","['competition', 'college']","['Rakul Preet Singh', 'Gulshan Grover', 'Evelyn Sharma']",,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/fZmL1C67pA0OHLGPITt0d2IODnM.jpg
4,Karle Pyaar Karle,2014.0,tt3465488,"Karle Pyaar Karle is an adrenaline gushing, action packed, edgy love story of two rebels, Kabir & Preet, playing the game of life.",252051.0,0.0,3.592,,,"['Action', 'Romance']",[],"['Hasleen Kaur', 'Shiv Darshan', 'Aham Sharma']",Suneel Darshan,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/yEhAVj9OtajyrP6RRX0aSgFYTqN.jpg
5,Miss Lovely,2014.0,tt1629715,"A Hindi feature film set in the lower depths of Bombay's ""C"" grade film industry. Miss Lovely follows the devastating story of two brothers who produce sleazy horror films in the mid-1980s.",126318.0,6.2,10.418,,,"['Drama', 'Crime']","['gangster', 'mumbai (bombay), india', 'murder', 'brother brother relationship', 'projection booth']","['Nawazuddin Siddiqui', 'Anil George', 'Kalpana']",Ashim Ahluwalia,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/u2fzSN0JzNNoKj5MevilNkvTevg.jpg
6,Om-Dar-B-Dar,2014.0,tt0246825,A carefully constructed nonsense about a teenage boy named Om in a small Indian village.,242618.0,6.8,4.036,,,"['Drama', 'Fantasy', 'Comedy']",[],"['Aditya Lakhia', 'Anita Kanwar', 'Lalit Tiwari']",Kamal Swaroop,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/zb0dUPtNoAzfPswbVRWk2EFeEAw.jpg
7,Paranthe Wali Gali,2014.0,tt2907156,"A romance between a Sikh girl Naina Kaur and a Rajasthan boy Maulik.  The feature film will highlight the vibrant culture of a place which was once the hub of life during the Mughal rule.The film has been named after Paranthe Wali Gali, Old Delhi's famous by-lane known for its wide array of tempting paranthas, because the place will be shown as a backdrop of the film.",260444.0,4.0,1.058,,,"['Romance', 'Drama']",[],[],,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/vXQsDcEnhVptIfvubyKHUPdQNjR.jpg
8,Strings of Passion,2014.0,tt1867064,"Strings Of Passion is an urban commercial flick which tells the story of three men, Neel, Aman and Amit. They are young and dynamic guys who run the band ""Strings of Passion"" but are shadowed by the influence of drugs, broken love and bad parenting.",396539.0,0.0,3.031,,,['Drama'],"['mumbai (bombay), india', 'bad parenting']","['Zeenat Aman', 'Rajesh Sharma', 'Indrani Haldar']",Sanghamitra Chaudhuri,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/n3laIegQYjW03Rq0GCtIKpEszVw.jpg
9,Jai Ho,2014.0,tt1188982,"An upright ex-army man, Jai fights a solitary war against corruption and injustice. With a simple mantra to pay forward, he starts off by helping one person and forms an ever growing circle of people helping each other.",244237.0,5.0,10.878,,,"['Action', 'Drama']","['war of independence', 'political correctness']","['Salman Khan', 'Tabu', ""Genelia D'Souza""]",A.R. Murugadoss,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/dZ4x35tDXd6iXvrpuXPP4psERG.jpg
10,One by Two,2014.0,tt2951576,"This is the story of Amit and Samara - two souls in Mumbai, a city of millions and how the universe conspires to bring them together. This is a coming of age film about how two people are destined to meet but only when their individual lives are ready for each other. Through a chance encounter, a series of coincidences and fates helping hand, Amit and Samaras lives intersect and affect each other. Whether they can find their true paths or not, only time will tell.",256095.0,4.5,2.854,,,"['Comedy', 'Drama', 'Romance']",[],"['Lillete Dubey', 'Rati Agnihotri', 'Tahir Raj Bhasin']",,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/dbiR3BH0NlZlFBQIv73dZn3ZBqk.jpg
11,Babloo Happy Hai,2014.0,tt3426144,"Jatin, Harry and Rohan head to Manali for one last trip before Jatin gets married. In Manali, the group of friends meet Natasha and are set forward on a journey of rediscovery.",478620.0,5.5,2.458,,,"['Comedy', 'Drama', 'Romance']",[],"['Erica Fernandes', 'Amol Parashar', 'Parvin Dabas']",Nila Madhab Panda,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/rD29HljNXCMegzhxcfHE448z3eM.jpg
12,Hasee Toh Phasee,2014.0,tt3173910,"On the eve of Nikhil and Karishma’s engagement, Karishma’s wealthy father, Devesh Solanki, expresses his disapproval, believing Nikhil to be a lackadaisical young man. With one week to prove himself worthy to marry Karishma, Nikhil and Karishma's sister, Meeta, grow closer to each other.",251626.0,6.547,11.446,,,"['Comedy', 'Romance']","['romantic comedy', 'family relationships', 'relationship']","['Tinnu Anand', 'Sharat Saxena', 'Manoj Joshi']",Vinil Mathew,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/A6s9Nb0bfuH1KqXvnG22FCAgrP7.jpg
13,Heartless,2014.0,tt1220214,"The story follows Jamie, a troubled young man with a birthmark on his face, which has left him feeling isolated and fearful, hiding from the world outside. He lives in the East End of London, an area notorious for its violent hooded gangs. According to news reports, the gangs are now wearing demon masks. But, one night, Jamie discovers the terrifying truth.",38150.0,5.858,8.789,,,"['Drama', 'Horror', 'Thriller']","['gangster', 'birthmark', 'pact with the devil']","['Eddie Marsan', 'Clémence Poésy', 'Timothy Spall']",Richard Raymond,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/3kRaWKYqtx9nyqcIkdTf58igzVb.jpg
14,Ya Rab,2014.0,tt3303416,The idea behind Ya Rab is to show how Islam has been used as a tool to propagate terrorism. The film focuses on issues where so called self proclaimed Maulanas (Islamic Preachers) misinterpret The Quran and its real meaning to breed terrorists and terrorist activity. Ya Rab is a genuine effort to show the right face of Islam and to guide the misguided on the right path.,256911.0,4.0,1.999,,,['Drama'],"['jihad', 'terrorism']","['Flora Saini', 'Akhilendra Mishra', 'Ajaz Khan']",,
15,Gunday,2014.0,tt2574698,"The lives of Calcutta's most powerful gangsters - Bikram and Bala, changes when Nandita enters it. Then a counter-force takes charge and a thriller unfolds.",250551.0,5.015,11.714,,,"['Action', 'Crime', 'Drama']","['friendship', 'love triangle', 'gangster', 'two man army', 'train', 'train robbery', 'coal', 'fight on train roof']","['Priyanka Chopra Jonas', 'Irrfan Khan', 'Ranveer Singh']",Ali Abbas Zafar,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/70QlykuyOHn2wO0uw2U2TqvZp10.jpg
16,Darr @ the Mall,2014.0,tt3449320,"A newly constructed mall is suspected to be haunted when a few workers are mysteriously killed during its construction. Vishnu, a security guard, unveils the mystery behind the mall's dark secret.",256907.0,3.8,2.192,,,"['Horror', 'Thriller']",[],"['Jimmy Shergill', 'Nushrratt Bharuccha', 'Arif Zakaria']",Pavan Kirpalani,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/4Ulk36fzSrgK2Lgk7wjJDkhgFRn.jpg
17,Gulabi Gang,2014.0,tt2196638,"In Bundelkhand, India, a revolution is in the making among the poorest of the poor, as the fiery women of the Gulabi Gang empower themselves and take up the fight against gender violence, caste oppression and widespread corruption.",161043.0,7.5,2.964,,550000.0,['Documentary'],"['fight', 'india', 'emancipation', 'woman director']","['Ram Dulari', 'Sampat Pal Devi', 'Bharat Patel']",Nishtha Jain,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/exsWzpzPdJ2wdwuTERN8pQb3Xby.jpg
18,Highway,2014.0,tt14356266,"A car crash ended Wayne Collins' dream to make it in Nashville, but a chance encounter with a country music legend rekindles the flame.",1223440.0,6.0,8.49,,,"['Drama', 'Family', 'Music']","['country music', 'car crash', 'nashville tennessee']","['Beau Bridges', 'Rob Mayes', 'Wilbur Fitzgerald']",,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/myFLl70Jg2DhJ6emvMEFMiD2tOg.jpg
19,Karar,2014.0,tt3565354,Karar The Deal showcases the lives of two women intertwined by their love for a man...,324344.0,0.0,1.226,202593.0,130138.0,"['Thriller', 'Romance']",[],"['Tarun Arora', 'Jyothi Rana', 'Maheck Chahal']",Sabir,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/A6lXmvYUuxbSn8JalXKxIyvqHuo.jpg
20,Pyar Ka Live Show,2014.0,tt0399608,"Karthik(Nagarjuna) is a rich architect in Ooty. He falls in love with Padhu(Gracy Singh). Padmavathi takes her own sweet time to accept Karthik's love. Padmavathi has a cute cousin sister Bhanu (Shriya). Bhanu encourages their love and gives courage to Padhu. When Padhu reveals about her love, her father Rama Chandraiah (K. Viswanath) resists and asks her to marry the guy he has chosen for her. Padhu flees from home and marries Karthik. Padmavathi is very eager to get back to her parents and get their blessings. Karthik and Padmavathi migrate to New Zealand and they give birth to a kid named Lucky. Padhu dies in an accident. Rama Chandraiah has a very big joint family. A few of the family members opine that inviting Karthik and his kid for a marriage to be happened at their place would give an opportunity to get a closer look at Lucky.",54304.0,8.0,1.449,,,"['Romance', 'Drama']",[],"['Brahmanandam', 'Prabhu Deva', 'Babloo Prithiveeraj']",Dasaradh,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/wF8XIPZeZEfNJbYNXaZPDnFZd0m.jpg
21,Anuradha,2014.0,tt0137362,"There are moments in our lives when our whole being is put to the test.  Our ideals, our ambitions, are forgotten and we crave for escape.  Escape into our world of dreams.  And such is Anuradha's (Leela Naidu) story.  The daughter of a rich man, she has everything she desired, yet she goes on to marry Dr. Nirmal Chowdhary (Balraj Sahni), an idealistic doctor, who wants to serve the poor in the villages of India.  Later when she is shown what she is missing by living with this poor doctor, she has to make the choice.  The choice of her life or her love.",82119.0,5.9,1.991,,,"['Family', 'Drama', 'Romance']",[],"['Abhi Bhattacharya', 'Asit Sen', 'Mukri']",Hrishikesh Mukherjee,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/mb9eR69FcQCOZ8ECYetZeXafuaY.jpg
22,Shaadi Ke Side Effects,2014.0,tt3302962,"An easy-going man ensures that the spark in his marriage stays strong by always apologizing and opting for the path of least conflict in his relationship. When his wife becomes pregnant and wishes to have the baby, he does not offer resistance, but is also not ready to be a father. How will their relationship evolve?",254418.0,5.467,6.042,,,"['Comedy', 'Romance']",['marriage crisis'],"['Farhan Akhtar', 'Vidya Balan', 'Rati Agnihotri']",Viral Desai,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/mSIwlMSpxTIcTKqcrtG4e2VuBPe.jpg
23,Gulaab Gang,2014.0,tt2573750,A fearless woman fights social injustice; creating a sanctuary for abused women and battling a crooked politician.,254420.0,6.2,3.598,,,['Drama'],['rebellion'],"['Juhi Chawla Mehta', 'Madhuri Dixit', 'Sudev Nair']",Anubhav Sinha,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/iGfRhEbULFryeMdUFuRq8zApsr9.jpg
24,Queen,2014.0,tt8338076,Helen is an independent widow who moves into the Pine Grove Senior Community and discovers it’s just like high school – full of cliques and flirtatious suitors. What she initially avoids leads her to exactly what she has been missing: new friendships and a chance at love again with newcomer Dan.,553592.0,6.327,9.539,,,"['Romance', 'Comedy']","['control freak', 'forgetful fire', 'repairing family connections']","['Loretta Devine', 'Courtney Gains', 'Christopher Lloyd']",Michael Lembeck,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/peYRpielBbRHMGNYJnWyCsG7apA.jpg
25,Total Siyapaa,2014.0,tt2727028,"Aman, a Pakistani man living in London, falls in love with Asha, an Indian woman. But he must convince her parents to let them get married, despite their different nationalities.",255580.0,4.441,2.886,,,"['Romance', 'Comedy']",[],"['Anupam Kher', 'Yami Gautam', 'Kirron Kher']",Eeshwar Nivas,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/m3xZxCa3Vn2ypE7jXLbLwWmom3U.jpg
26,Bewakoofiyaan,2014.0,tt3483646,A middle-class corporate couple doesn't worry about money and living expenses until the recession drains their finances.,254171.0,5.618,6.757,,,"['Romance', 'Comedy', 'Drama']","['recession', 'romantic comedy', 'slice of life', 'boyfriend girlfriend relationship', 'father daughter relationship']","['Rishi Kapoor', 'Sonam Kapoor Ahuja', 'Deepika Amin']",Nupur Asthana,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/eniZIxK1INYbOQBeJWmv0IhKKOz.jpg
27,Neighbours,2014.0,tt14452802,A small village on the Syrian-Turkish border in the early 1980s: The six-year-old Kurdish boy Sero experiences his first school year in an Arab school and has to watch his small world being radically changed in the course of an absurd nationalism.,783459.0,8.0,2.519,,,['Drama'],[],"['Jay Abdo', 'Tuna Dwek', 'Mazen Al Natour']",Mano Khalil,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/1byGNlwQy6rNX4qV6Xcoslo0y0N.jpg
28,W,2014.0,tt1175491,"The story of the eventful life of George W. Bush—his struggles and triumphs, how he found both his wife and his faith—and the critical days leading up to his decision to invade Iraq.",10523.0,6.225,36.997,29506464.0,25100000.0,"['Drama', 'History']","['usa president', 'the white house', 'president', 'iraq war']","['Colin Hanks', 'Elizabeth Banks', 'Thandiwe Newton']",Oliver Stone,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/nJm8UF4zbUYEoku9seEtz1PTJGS.jpg
29,Ankhon Dekhi,2014.0,tt3614516,"Bauji resists his daughter's request to let her marry the man she loves as the villagers incessantly shame him. However, his opinion changes after he meets him and he decides to change his viewpoint.",241882.0,6.9,8.307,187000.0,800000.0,"['Comedy', 'Drama']","['family relationships', 'perception', 'eccentricity']","['Ranvir Shorey', 'Sanjay Mishra', 'Saurabh Shukla']",,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/o6CzPCs5WCePQnKB4iwr5XyOchh.jpg
30,Gang of Ghosts,2014.0,tt3531604,Spirits get miffed when their haunted home is slated to be torn down to make way for a shopping mall.,260318.0,4.0,1.966,,,"['Comedy', 'Drama']",['ghost'],"['Jackie Shroff', 'Anupam Kher', 'Rajpal Yadav']",Anik Dutta,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/mbRb5pMdSfYcrIws7tAw8EtEBMR.jpg
31,Lakshmi,2014.0,tt2976176,"Based on true events, Lakshmi is a story of heroism and untold courage. Lakshmi, a 13 year old girl is kidnapped and sold into prostitution. Thrown into this horrific, inhuman world where she is raped and brutally beaten she barely survives with the help of the other girls and her own will to never give in. Finally she is rescued in a police raid. Against all odds, Lakshmi shows courage where everybody else fails. Resisting all pressure - violent threats, coercion and bribes, she stands up in court and in a landmark case in India, succeeds in putting the traffickers behind bars.",260267.0,6.0,4.216,,,['Drama'],"['based on true story', 'prostitution', 'police raid']","['Shefali Shah', 'Flora Saini', 'Satish Kaushik']",Nagesh Kukunoor,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/2rM2sDBjaEVaeWMZ8Ka7n1WXOIn.jpg
32,Ragini MMS 2,2014.0,tt2609218,A sleazy film director's decision to shoot his latest erotic horror movie in a notorious haunted house angers the vengeful spirit of its past inhabitant.,260266.0,4.017,10.241,,,['Horror'],"['haunting', 'possession']","['Sunny Leone', 'Anita Hassanandani Reddy', 'Divya Dutta']",Bhushan Patel,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/fGz97aWWA2SaEfh24T5tf3WJIdm.jpg
33,Dishkiyaoon,2014.0,tt3539966,"Dishkiyaoon is a Bollywood action film produced by Shilpa Shetty and her husband Raj Kundra along with Eros International. The film features Sunny Deol, Harman Baweja and debutant Ayesha Khanna. The film is about the Mumbai underworld.2014.Four songs for the film have been composed by debutant Palash Muchhal, who's the youngest music composer of Bollywood at age of 18.",258879.0,3.8,3.04,,,"['Action', 'Thriller']",[],"['Sunny Deol', 'Aditya Pancholi', 'Shilpa Shetty Kundra']",,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/jsKD1GWFtzQD7dJzQ7MvLmxMpGr.jpg
34,O Teri,2014.0,tt3483596,"Prantabh and Anand, associated with a news channel in Delhi, are in search of a big scam to prove a point to their senior. A dead body accidentally lands up in their car.",273166.0,2.2,3.051,,,"['Drama', 'Comedy']",[],"['Anupam Kher', 'Salman Khan', 'Vijay Raaz']",Umesh Bist,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/8yDmeoOKcWtp0TU9n66hAfVAqy3.jpg
35,Station,2014.0,tt21301418,"After learning that the death of his wife was not an accident, a former CIA Station Chief is forced back into the espionage underworld, teaming up with an adversary to unravel a conspiracy that challenges everything he thought he knew.",1093995.0,5.6,156.756,,,"['Action', 'Thriller']",['conspiracy thriller'],"['Olga Kurylenko', 'Aaron Eckhart', 'Alex Pettyfer']",Jesse V. Johnson,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/uuA01PTtPombRPvL9dvsBqOBJWm.jpg
36,Youngistaan,2014.0,tt3514330,"Abhimanyu Kaul - a young, independent, Games Developer, living in Japan and the love of his life, Anwita Chauhan - a bubbly, passionate and full of life, summer intern. Their happy and content life faces the test of time, when blood ties and the pressure of being born into the first family of India tears a young Abhimanyu between his love for Anwita and a promise made to his dying father, the Prime Minister of India. Being a public figure, by reluctantly accepting to represent the governing party, much against his own wishes and at the cost of his private life, is a double-edged sword that Abhimanyu must walk on.",263828.0,5.0,2.844,,,"['Drama', 'Romance']",['politics'],"['Neha Sharma', 'Boman Irani', 'Brijendra Kala']",,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/89mWkdOnrXeq2V9B8piLYad3s9s.jpg
37,Ebn-E-Batuta,2014.0,tt3498078,,632104.0,0.0,1.629,,,,[],"['Rajeev Verma', 'Omkar Das Manikpuri', 'Dev Gohar']",Varun Middha,
38,Jal,2014.0,tt15669564,"The rom-com flavored cute love story of Jalwayu Enclave revolves around a village-based guy Gurjazz and Delhite Air Hostess Monica, who unfortunately gets locked up in the same building during the covid-19 lockdown.",940005.0,4.0,3.101,,,"['Romance', 'Drama']",[],"['Mintu Kapa', 'Rajinder Kumar Gagahar', 'Gurjazz']",Thaparr,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/vNY368XmKHJNElkQedbqmXwxmr1.jpg
39,Main Tera Hero,2014.0,tt2762334,"Seenu loves Sunaina but they're chased by a stalking cop, an infatuated beauty and her mafia don dad - can Seenu's heroics work?",262903.0,5.339,8.447,,,"['Romance', 'Comedy']",['coming of age'],"['Anupam Kher', 'Salman Khan', 'Rajpal Yadav']",David Dhawan,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/bupZH3i1SAaLLC0OgYMSLDZN63Q.jpg
40,Bhoothnath Returns,2014.0,tt3531852,"Boothnath vows to redeem himself when spirits tease him, and searches for a child to terrify. He befriends Akhrot, a slum kid, and helps him take on the country's most powerful politician.",264085.0,6.306,7.307,,,"['Comedy', 'Drama', 'Fantasy']","['political satire', 'sitcom']","['Shah Rukh Khan', 'Amitabh Bachchan', 'Ranbir Kapoor']",Nitesh Tiwari,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/zMC0kbfcBSxVOAsFXxw9Pg1NBJ8.jpg
41,2 States,2014.0,tt2372678,"A man and a woman come from two very different cultural backgrounds, and decide that they won't get married until they convince their parents. As feared, differences between the families pose a hurdle.",259720.0,6.514,16.893,22414611.0,4587786.0,"['Comedy', 'Romance', 'Drama']","['based on novel or book', 'delhi, india', 'romantic comedy', 'love', 'cultural difference', 'wedding', 'university', 'boyfriend girlfriend relationship']","['Alia Bhatt', 'Amrita Singh', 'Revathi']",Abhishek Varman,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/lOQqeKxZg12ZSn0qfHAOXOtbVFR.jpg
42,Dekh Tamasha Dekh,2014.0,tt3672618,"Dekh Tamasha Dekh is a political and social satire based on a true story, it revolves around the search for the religious identity of a poor man crushed under the weight of a politician`s hoarding.",264186.0,6.833,2.773,,,['Comedy'],[],"['Tanvi Azmi', 'Satish Kaushik', 'Vinay Jain']",Feroz Abbas Khan,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/rsSFcPJPRtlROpLKLHvLqZrILPO.jpg
43,Lucky Kabootar,2014.0,tt2612924,"Lucky (Eijaz Khan) loves 'modern' Kammo (Shradha Das) but ends up marrying the girl-next-door Lakshmi (Kulraj Randhawa). An accident leads him to believe that his wife is dead. Instead of mourning her death, he falls into Kammo's arms. Turns out, he's not that lucky.",304303.0,0.0,1.615,,,,[],"['Sanjay Mishra', 'Ravi Kishan', 'Kulraj Randhawa']",Shammi Chhabra,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/5DU0SFDGXmcWKbAZGKjQVkUUrDr.jpg
44,Kaanchi,2014.0,tt3038772,Kaanchi movie is a musical thriller with a love story. It is a story of the inner power of a woman who represents millions of suppressed youth against unjust in the country. It is also the story of an innocent rural beauty and her fight against power.,266310.0,5.2,2.9,,,"['Drama', 'Music', 'Romance']",[],"['Mithun Chakraborty', 'Kartik Aaryan', 'Rishi Kapoor']",Subhash Ghai,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/gcqOtRxgdqbXjp3kxnnOCHBThW.jpg
45,Revolver Rani,2014.0,tt3290688,"Alka Singh, the leader of a political party, and her obsessive love for Rohan Mehra, a rising star of Bollywood.",266550.0,3.7,4.927,,,"['Action', 'Crime', 'Comedy']",['gun violence'],"['Kumud Mishra', 'Kangana Ranaut', 'Zakir Hussain']",Tigmanshu Dhulia,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/iEDCDioMy1A8i5iGUu5gDZM5BhY.jpg
46,Samrat & Co.,2014.0,tt3636776,"A young, beautiful and rich girl, Dimpy Singh, approaches Samrat Tilakdhari, a private investigator, with a strange case. Their garden got ruined for reasons that appear natural but are not known; leading horticulturists have examined the fading plants but they have not been able to identify the probable reason. Further, her father's favorite horse died; once again the reason for the pre-mature death remains a mystery. That's not the end; Dimpy's father Mahendra Pratap Singh, otherwise a very strong and balanced man, has been experiencing deteriorating health. All these aspects when combined makes the case sound weird and that grabs the attention of Samrat. Samrat along with his assistant friend, Chakradhar Pandey, visits the huge estate of Mahendra Pratap Singh. As he starts investigating, he discovers lots of mysterious facts.",266556.0,5.0,2.65,,,"['Action', 'Mystery', 'Crime', 'Thriller', 'Romance']","['romance', 'murder', 'private detective']","['Rajeev Khandelwal', 'Girish Karnad', 'Priyanshu Chatterjee']",Kaushik Ghatak,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/17e7J9YXfKzQb3B1AFvy8bf0eqw.jpg
47,Purani Jeans,2014.0,tt3681414,"Purani Jeans is a film based on the belief that friendship is like a pair of old jeans—the more you wear them the better it gets. The summer now unfolds more dramatically as the boys make detrimental choices—of love, sex, friendship, jealousy, heartbreaks & betrayal, finally leading to broken bonds of friendship. The film travels with Siddharth as he explores equations with his past—to rebuild friendships with his four friends whom he grew up with in a small town in Himachal Pradesh in India. When Siddharth lands in India from the US, ghosts from his youth loom up. He finally overcomes the complications and sets right all the wrongs done in his past & rediscovers bonds of friendship.I n the end Siddharth goes back to New York a better man; reconciled with his past & most importantly rediscovering a happier today. He returns to New York with the belief that friendship is indeed like Purani Jeans, the older the better!!",265289.0,4.8,2.573,,,['Romance'],[],"['Rati Agnihotri', 'Sarika', 'Aditya Seal']",,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/zv5zBTqLDeRICnHxROlipqKFbum.jpg
48,Kya Dilli Kya Lahore,2014.0,tt2063745,"In 1948, a cross-fire erupts at an isolated stretch of Indo-Pak border, leaving only two soldiers alive. One is an Indian soldier of Pakistani origin while the other happens to be a Pakistani soldier of Indian origin. An ironic story of pride and survival begins when - in an attempt to evade danger, they bump into each other. And amidst continuous exchange of bullets, altercations and murkier situations, it evolves into a journey of human connection with an unforeseeable end.",268534.0,7.5,2.155,,,"['Drama', 'History', 'War']",[],"['Vijay Raaz', 'Manu Rishi Chadha', 'Raj Zutshi']",,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/fPLpcnKq5rQGAhsBTqV6fo4hXR9.jpg
49,Kahin Hai Mera Pyar,2014.0,tt3585758,"Every youth's imagination of love that relates the story of Adam & Eve, known since ages and shot very first time in the Hindi Language in India. Natures own creation Adam and Eve believed to be in heaven, were incited by a python to eat a fruit. Eve ate the fruit and then fed it to Adam. They were forbidden to have it and on eating it were exiled from Heaven. A painter, Karan, who is getting blur images of a girl is trying to produce it on canvas, he writes at the bottom of all the portraits 'Kahin Hai Mera Pyar' as a sign of his belief that his love exists somewhere! A businessman buys all portraits this provokes Karan's feeling and he opts to search for his love more vigorously as the story unfolds further.",306418.0,0.0,3.02,,,"['Drama', 'Music', 'Romance']",[],"['Jackie Shroff', 'Sanjay Kapoor', 'Kishori Shahane']",Mahesh Vaijnath Doijode,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/2kWLCPLSub7FVwxAEnqkSEVCMQs.jpg
50,Hawaa Hawaai,2014.0,tt3501994,"Hawaa Hawaai is a story of the triumph of the human spirit; friendship and enjoying the journey of making ones dream come true. Arjun moves to the big city along with his mother and little sister. Out there he discovers a hidden world of in-line skating through coach Lucky, who mentors kids to become skating champions. While Arjun starts nursing the dream to learn skating under Lucky, his four friends get together to make this dream come true for him. In this endearing story of hope and aspirations, will Arjun's dreams take flight?",268860.0,7.3,4.567,1505000.0,1460000.0,"['Drama', 'Family']","['sports', 'skating']","['Makrand Deshpande', 'Saqib Saleem', 'Mahesh Balraj']",,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/pqLf2SlhM02EEzY9ZjYMXxumJdB.jpg
51,Khwaabb,2014.0,tt2429930,"Khwaab is a story about the birth of a dream, of ambition and the fierce passion to achieve that dream amidst unceasing tribulations. This intense personal journey is set in the larger, bureaucratic world of Indian sports. It illustrates why a country with a population of 1.2 billion people cannot produce medal-winning athletes. How sheer, raw talent gets wasted or destroyed by corrupt politicians and power hungry bureaucrats. Khwaab is the story of one such athlete and her struggle to succeed in the cut-throat, debauched and mired world of Indian sports.",316824.0,7.0,1.726,,,,[],"['Nafisa Ali', 'Navdip Singh', 'Simer Motiani']",Zaid Ali Khan,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/2UKmCtK88Oz3atksZvYh94Khy7p.jpg
52,Koyelaanchal,2014.0,tt3640942,"Koyelaanchal (coal belt of India) brings to light the explosive story of the people who have kept our precious fuel station at ransom for centuries. Koyelaanchal unveils itself through Saryu Bhan Singh (Vinod Khanna),an ex-owner turned Mafioso of the region, who through his sheer brutality & blatant defiance of law of the land, forces the people & the authorities to acknowledge him as their 'maalik'. Any protest, any voice of dissent against him is dealt with spine chilling violence of epic proportions.",269238.0,6.9,1.168,,,,[],"['Suniel Shetty', 'Vinod Khanna', 'Ravi Singh']",Ashu Trikha,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/tKoN5NNfF8sFfoW0DJKLqGh4Xz7.jpg
