,Title,Year,Id,Overview,TMDB_Id,Average_vote,Popularity,Revenue,Budget,Genre,Keywords,Cast,Director,Poster
856,Phone Bhoot,2022.0,tt12740760,"Two crazy, jobless, horror-film addicts Major and Gullu, under immense family pressure to find work, hit upon the idea to float a unique ghost-capturing service when they meet a spirit, Ragini, who makes their business a success but in return asks them for a favour which they are compelled to honour.",726207.0,5.2,14.515,,,"['Horror', 'Comedy']",[],"['Jackie Shroff', 'Katrina Kaif', 'Sheeba Chaddha']",Gurmmeet Singh,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/gWfP8YrbqqznOHWbYC2mbqcV2ZR.jpg
857,Double XL,2022.0,tt15614274,"Rajshri wants to be a sports presenter on TV but is promptly told that she is 'too healthy' for it. Saira, a fashion designer also has hit rock bottom in her life after she is cheated on by her boyfriend. A chance encounter between the two leads them to London to discover themselves and challenge the norms of who's a 'normal woman'.",915776.0,5.438,7.657,,,"['Comedy', 'Drama']",[],"['Sonakshi Sinha', 'Huma Qureshi', 'Mahat Raghavendra']",Satramm Ramani,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/n5pOwxgBj5M67FpiFLwOxSbJiVI.jpg
858,Mili,2022.0,tt15257644,"Mili Naudiyal, a nursing graduate is planning to move to Canada. She takes up a job at a food outlet for the time being but her sudden disappearance without a clue leaves her loved ones in a desperate search for her in this survival drama.",908397.0,6.3,10.331,,,['Thriller'],"['remake', 'based on movie']","['Jackie Shroff', 'Manoj Pahwa', 'Sunny Kaushal']",Mathukutty Xavier,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/eJ36QCd5SPRpivJkVgZMqKyfgCz.jpg
859,Tadka,2022.0,tt5705876,"A middle-aged Tukaram is passionate about food and archaeology but it’s a misplaced call from Madhura that adds the tadka to his life. While love simmers, Nicole and Sidharth’s story spices up too.",449627.0,6.75,2.824,,,"['Comedy', 'Drama', 'Romance']","['remake', 'slice of life']","['Lillete Dubey', 'Taapsee Pannu', 'Murali Sharma']",,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/7cE9ZPnIJmct8URu61j19OTASNY.jpg
860,Rocket Gang,2022.0,tt21386020,"Five friends take a getaway trip and stay at Wonder Villa. But, the haunted villa's supernatural powers suck them in and their only chance to survive is by dancing.",1035366.0,4.5,5.666,,,"['Comedy', 'Fantasy', 'Horror', 'Music']","['dance', 'dance competition', 'supernatural power']","['Nora Fatehi', 'Farah Khan', 'Aditya Seal']",,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/8icRtVuWUDvBITWCeMBmRTL8chu.jpg
861,Uunchai,2022.0,tt15309708,"Amit, Om, Javed and Bhupen - a group of four friends - have come a long way in life. Bhupen had a lifelong dream of going to Mount Everest with his three friends but the idea is quashed immediately as soon as he expresses it to them during a get-together. However, Bhupen's sudden death leads the trio to leave their cozy Delhi lives and trek to Everest Base Camp as friendship was their only motivation.",1009432.0,5.967,16.487,,,"['Comedy', 'Drama', 'Family']",[],"['Amitabh Bachchan', 'Anupam Kher', 'Boman Irani']",Sooraj Barjatya,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/wqDjg117q3M9lJ4nSQBAyL47M6N.jpg
862,"Monica, O My Darling",2022.0,tt15128068,"A slick robotics expert joins a murderous plot after a passionate affair takes a sudden turn, but nothing — not even death — is what it seems to be.",915831.0,6.956,14.664,,,"['Crime', 'Comedy', 'Drama', 'Mystery']",[],"['Rajkummar Rao', 'Radhikka Madan', 'Huma Qureshi']",Vasan Bala,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/xEksr0T34utTkeg0DB1Au4M0jto.jpg
863,Thai Massage,2022.0,tt20838498,"A typical middle-class 70-year-old widower, Atmaram Dubey, who has been celibate for decades, realises he will probably never have sex. This awakening catapults him into an outrageous journey of self-discovery defying societal norms.",977673.0,5.6,2.795,,,"['Comedy', 'Drama']",[],"['Rajpal Yadav', 'Divyendu Sharma', 'Anurita Jha']",,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/rYPis1a03mHIIUXDScAKLHvEfBO.jpg
864,Drishyam 2,2022.0,tt15501640,"7 years after the case related to Vijay Salgaonkar and his family was closed, a series of unexpected events bring truth to light that threatens to change everything for the Salgaonkars. Can Vijay save his family this time?",1029827.0,7.971,27.394,,,"['Crime', 'Thriller', 'Drama', 'Mystery']",['based on movie'],"['Ajay Devgan', 'Tabu', 'Shriya Saran']",Jeethu Joseph,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/yJNNwHQuKYNeHFbsxSFR6yK9Dda.jpg
865,Mister Mummy,2022.0,tt17736704,"Amol, a cranky PT teacher and his wife Gugloo have opposing choices when it comes to children but destiny has something else planned for the childhood sweethearts.",934747.0,5.2,5.283,,,"['Comedy', 'Drama']",['pregnant man'],"['Ritesh Deshmukh', ""Genelia D'Souza"", 'Mahesh Manjrekar']",Shaad Ali,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/pZcDBlTEqqlp2o3Vmmwcm7Ntxoa.jpg
